,Season,Lg,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
26,1992,NBA,M. Jordan* (8.29),D. Robinson* (7.75),C. Drexler* (7.18),C. Barkley* (6.86),S. Pippen* (6.82),H. Grant (6.69),D. Rodman* (5.79),L. Nance (5.66),K. Malone* (5.62),J. Hornacek (5.51)
27,1991,NBA,M. Jordan* (9.80),D. Robinson* (8.13),M. Johnson* (7.61),C. Barkley* (7.40),C. Drexler* (6.68),K. Malone* (6.53),S. Pippen* (6.37),T. Porter (5.46),C. Mullin* (5.42),A. Robertson (5.28)
28,1990,NBA,M. Jordan* (10.12),C. Barkley* (9.18),M. Johnson* (8.54),K. Malone* (6.74),C. Drexler* (6.65),D. Robinson* (6.45),H. Olajuwon* (6.25),L. Bird* (6.07),F. Lever (5.43),P. Ewing* (5.25)
29,1989,NBA,M. Jordan* (11.98),C. Barkley* (9.21),M. Johnson* (8.20),C. Drexler* (7.21),K. Malone* (6.45),H. Olajuwon* (5.61),J. Stockton* (5.46),F. Lever (5.33),R. Harper (5.20),P. Ewing* (4.92)
30,1988,NBA,M. Jordan* (11.81),C. Barkley* (8.73),L. Bird* (8.06),C. Drexler* (7.29),F. Lever (6.24),H. Olajuwon* (5.03),M. Johnson* (4.88),A. Robertson (4.55),B. Scott (4.37),D. Rivers (4.33)
31,1987,NBA,M. Jordan* (8.78),L. Bird* (8.53),C. Barkley* (7.75),M. Johnson* (7.45),C. Drexler* (6.05),H. Olajuwon* (5.98),F. Lever (5.87),K. McHale* (5.58),D. Wilkins* (5.16),L. Nance (4.79)
32,1986,NBA,L. Bird* (8.73),C. Barkley* (7.34),A. Robertson (6.25),M. Johnson* (5.16),P. Pressey (5.01),A. Dantley* (4.81),C. Drexler* (4.62),H. Olajuwon* (4.58),S. Moncrief (4.58),D. Wilkins* (4.34)
33,1985,NBA,L. Bird* (8.39),M. Jordan* (8.09),M. Richardson (5.65),I. Thomas* (5.59),M. Johnson* (5.22),P. Pressey (4.68),K. Abdul-Jabbar* (4.62),S. Moncrief (4.61),C. Drexler* (4.61),R. McCray (4.13)
34,1984,NBA,L. Bird* (7.40),J. Erving* (5.29),S. Moncrief (5.26),M. Johnson* (5.25),J. Ruland (4.90),A. Dantley* (4.84),I. Thomas* (4.72),L. Nance (4.65),J. Sikma (4.54),M. Johnson (3.98)
35,1983,NBA,L. Bird* (7.22),M. Johnson* (6.89),S. Moncrief (5.26),J. Erving* (5.09),A. English* (5.04),M. Johnson (4.91),L. Nance (4.90),J. Ruland (4.58),M. Malone* (4.01),A. Gilmore* (3.96)
36,1982,NBA,M. Johnson* (7.76),L. Bird* (6.99),J. Erving* (6.86),S. Moncrief (5.63),M. Malone* (5.42),A. Dantley* (5.34),J. Sikma (4.67),M. Richardson (4.65),A. English* (4.61),A. Gilmore* (4.55)
37,1981,NBA,J. Erving* (7.22),L. Bird* (5.81),A. Dantley* (5.70),K. Abdul-Jabbar* (5.45),M. Richardson (5.20),M. Johnson (5.11),A. Gilmore* (4.92),C. Maxwell (4.70),M. Malone* (4.68),R. Reid (4.21)
