,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,DraftYear
0,11,DAL,Kiki Vandeweghe,"University of California, Los Angeles",13,810,24521,15980,2785,1668,.525,.368,.872,30.3,19.7,3.4,2.1,75.6,.148,-0.1,11.7,1980
1,12,NYK,Mike Woodson,Indiana University,11,786,20021,10981,1838,1822,.466,.271,.813,25.5,14.0,2.3,2.3,34.6,.083,-1.0,4.9,1980
2,13,GSW,Rickey Brown,Mississippi State University,5,340,4487,1482,1200,119,.464,.000,.667,13.2,4.4,3.5,0.4,4.7,.051,-4.4,-2.7,1980
3,14,WSB,Wes Matthews,University of Wisconsin,9,465,9305,3654,626,1955,.478,.225,.788,20.0,7.9,1.3,4.2,11.0,.057,-2.9,-2.2,1980
4,15,SAS,Reggie Johnson,University of Tennessee,4,305,5979,2564,1238,262,.505,.143,.716,19.6,8.4,4.1,0.9,11.0,.088,-1.9,0.1,1980
5,11,WSB,Frank Johnson,Wake Forest University,10,596,12897,4937,1025,2476,.439,.218,.760,21.6,8.3,1.7,4.2,17.2,.064,-2.2,-0.8,1981
6,12,DET,Kelly Tripucka,University of Notre Dame,10,707,20959,12142,2703,2090,.473,.361,.849,29.6,17.2,3.8,3.0,44.4,.102,0.1,11.3,1981
7,13,UTA,Danny Schayes,Syracuse University,18,1138,21975,8780,5671,1299,.481,.133,.806,19.3,7.7,5.0,1.1,48.8,.107,-1.2,4.6,1981
8,14,IND,Herb Williams,Ohio State University,18,1102,28484,11944,6509,1856,.467,.095,.696,25.8,10.8,5.9,1.7,36.1,.061,-1.1,6.7,1981
9,15,POR,Jeff Lamp,University of Virginia,6,291,3471,1495,437,269,.470,.222,.841,11.9,5.1,1.5,0.9,5.2,.072,-3.3,-1.2,1981
10,11,POR,Fat Lever,Arizona State University,11,752,23814,10433,4523,4696,.447,.310,.771,31.7,13.9,6.0,6.2,61.2,.123,3.6,33.7,1982
11,12,CLE,John Bagley,Boston College,11,665,17120,5802,1729,3980,.437,.241,.779,25.7,8.7,2.6,6.0,16.6,.047,-1.9,0.3,1982
12,13,NJN,Sleepy Floyd,Georgetown University,13,957,26383,12260,2494,5175,.444,.324,.815,27.6,12.8,2.6,5.4,50.6,.092,-0.5,10.1,1982
13,14,GSW,Lester Conner,Oregon State University,12,687,14970,4337,1861,2669,.453,.202,.753,21.8,6.3,2.7,3.9,28.6,.092,0.8,10.5,1982
14,15,PHO,David Thirdkill,Bradley University,5,179,1469,510,209,84,.457,.091,.565,8.2,2.8,1.2,0.5,1.3,.042,-4.6,-0.9,1982
15,11,DAL,Derek Harper,University of Illinois at Urbana-Champaign,16,1199,37786,16006,2884,6577,.463,.354,.745,31.5,13.3,2.4,5.5,86.8,.110,1.2,30.2,1983
16,12,NYK,Darrell Walker,University of Arkansas,10,720,18601,6389,3134,3276,.435,.059,.713,25.8,8.9,4.4,4.6,27.4,.071,1.0,14.2,1983
17,13,KCK,Ennis Whatley,University of Alabama,10,385,7108,2150,679,1754,.468,.097,.755,18.5,5.6,1.8,4.6,9.6,.065,-2.5,-0.8,1983
18,14,POR,Clyde Drexler,University of Houston,15,1086,37537,22195,6677,6125,.472,.318,.788,34.6,20.4,6.1,5.6,135.6,.173,6.0,75.6,1983
19,15,DEN,Howard Carter,Louisiana State University,2,66,754,351,89,75,.440,.227,.774,11.4,5.3,1.3,1.1,0.0,-.002,-5.6,-0.7,1983
20,11,ATL,Kevin Willis,Michigan State University,21,1424,38362,17253,11901,1328,.487,.211,.713,26.9,12.1,8.4,0.9,81.8,.102,-1.8,2.0,1984
