,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,DraftYear
0,16,KCK,Hawkeye Whitney,North Carolina State University,2,70,1048,404,146,87,.462,.286,.750,15.0,5.8,2.1,1.2,1.3,.062,-1.8,0.0,1980
1,17,DET,Larry Drew,University of Missouri,10,714,18370,8110,1265,3702,.467,.291,.798,25.7,11.4,1.8,5.2,24.4,.064,-2.4,-2.0,1980
2,18,ATL,Don Collins,Washington State University,6,303,6134,2983,837,546,.485,.069,.749,20.2,9.8,2.8,1.8,10.5,.082,0.4,3.7,1980
3,19,UTA,John Duren,Georgetown University,3,201,2947,712,226,411,.435,.120,.750,14.7,3.5,1.1,2.0,-0.8,-.014,-5.8,-2.9,1980
4,20,SEA,Bill Hanzlik,University of Notre Dame,10,748,15534,5414,2058,2058,.434,.213,.781,20.8,7.2,2.8,2.8,24.7,.076,-1.0,3.8,1980
5,16,POR,Darnell Valentine,University of Kansas,9,620,14395,5400,1318,3080,.437,.261,.787,23.2,8.7,2.1,5.0,22.1,.074,-1.4,2.3,1981
6,17,KCK,Kevin Loder,Alabama State University,3,148,2094,875,338,174,.461,.261,.695,14.1,5.9,2.3,1.2,2.4,.055,-2.5,-0.3,1981
7,18,NJN,Ray Tolbert,Indiana University,5,261,2789,928,609,135,.495,.000,.544,10.7,3.6,2.3,0.5,2.9,.051,-2.9,-0.6,1981
8,19,LAL,Mike McGee,University of Michigan,9,520,9271,4968,1112,629,.487,.354,.597,17.8,9.6,2.1,1.2,15.1,.078,-0.9,2.5,1981
9,20,PHO,Larry Nance,Clemson University,13,920,30697,15687,7352,2393,.546,.145,.755,33.4,17.1,8.0,2.6,109.6,.171,4.2,47.9,1981
10,16,HOU,Terry Teagle,Baylor University,11,687,14509,7982,1803,956,.465,.210,.792,21.1,11.6,2.6,1.4,13.4,.044,-3.5,-5.6,1982
11,17,KCK,Brook Steppe,Georgia Institute of Technology,5,238,2858,1297,345,280,.469,.310,.820,12.0,5.4,1.4,1.2,4.6,.078,-2.9,-0.6,1982
12,18,DET,Ricky Pierce,Rice University,16,969,23665,14467,2296,1826,.493,.322,.875,24.4,14.9,2.4,1.9,72.2,.146,-0.1,11.5,1982
13,19,DEN,Rob Williams,University of Houston,2,153,3367,1319,330,825,.439,.274,.789,22.0,8.6,2.2,5.4,2.1,.030,-3.4,-1.2,1982
14,20,MIL,Paul Pressey,University of Tulsa,11,724,19659,7664,2798,3715,.485,.222,.749,27.2,10.6,3.9,5.1,49.0,.120,2.4,22.0,1982
15,16,SEA,Jon Sundvold,University of Missouri,9,502,8811,3886,554,1469,.452,.392,.849,17.6,7.7,1.1,2.9,8.9,.048,-4.8,-6.2,1983
16,17,PHI,Leo Rautins,Syracuse University,2,32,208,48,35,32,.350,,.600,6.5,1.5,1.1,1.0,-0.1,-.030,-5.3,-0.2,1983
17,18,MIL,Randy Breuer,University of Minnesota,11,681,12499,4599,2986,616,.467,.000,.628,18.4,6.8,4.4,0.9,20.9,.080,-1.2,2.5,1983
18,19,SAS,John Paxson,University of Notre Dame,11,772,17257,5560,906,2758,.499,.355,.804,22.4,7.2,1.2,3.6,36.3,.101,-2.6,-2.7,1983
19,20,CLE,Roy Hinson,Rutgers University,8,507,15543,7206,3452,495,.499,.000,.741,30.7,14.2,6.8,1.0,30.2,.093,-0.9,4.3,1983
20,16,UTA,John Stockton,Gonzaga University,19,1504,47764,19711,4051,15806,.515,.384,.826,31.8,13.1,2.7,10.5,207.7,.209,3.5,65.9,1984
21,17,NJN,Jeff Turner,Vanderbilt University,10,612,11244,3697,2036,635,.467,.344,.769,18.4,6.0,3.3,1.0,8.9,.038,-3.4,-4.1,1984
22,18,IND,Vern Fleming,University of Georgia,12,893,24721,10125,3012,4293,.498,.181,.764,27.7,11.3,3.4,4.8,52.0,.101,0.3,14.3,1984
23,19,POR,Bernard Thompson,"California State University, Fresno",5,204,2935,1078,352,266,.439,.000,.789,14.4,5.3,1.7,1.3,3.4,.056,-2.6,-0.5,1984
24,20,DET,Tony Campbell,Ohio State University,11,690,15180,7994,2117,1019,.456,.254,.790,22.0,11.6,3.1,1.5,20.7,.065,-1.7,1.2,1984
25,16,DAL,Bill Wennington,St. John's University,13,720,9740,3301,2148,440,.459,.139,.787,13.5,4.6,3.0,0.6,17.7,.087,-3.1,-2.7,1985
26,17,DAL,Uwe Blab,Indiana University,5,235,1966,505,413,102,.433,,.608,8.4,2.1,1.8,0.4,0.4,.009,-4.8,-1.4,1985
27,18,DET,Joe Dumars,McNeese State University,14,1018,35139,16401,2203,4612,.460,.382,.843,34.5,16.1,2.2,4.5,86.2,.118,0.2,19.3,1985
28,19,HOU,Steve Harris,University of Tulsa,5,207,2840,1440,365,238,.434,.050,.842,13.7,7.0,1.8,1.1,3.1,.053,-3.7,-1.2,1985
29,20,BOS,Sam Vincent,Michigan State University,7,396,7527,3106,819,1543,.449,.182,.863,19.0,7.8,2.1,3.9,10.9,.069,-2.5,-0.9,1985
30,16,DEN,Maurice Martin,Saint Joseph's University,2,69,422,204,65,49,.378,.211,.598,6.1,3.0,0.9,0.7,-0.3,-.033,-6.2,-0.5,1986
31,17,SAC,Harold Pressley,Villanova University,4,299,6802,2702,1339,628,.437,.358,.778,22.7,9.0,4.5,2.1,10.0,.070,0.7,4.6,1986
32,18,DEN,Mark Alarie,Duke University,5,325,5500,2432,1120,363,.475,.252,.775,16.9,7.5,3.4,1.1,8.4,.073,-2.2,-0.3,1986
33,19,ATL,Billy Thompson,University of Louisville,6,300,6697,2566,1615,514,.505,.154,.674,22.3,8.6,5.4,1.7,9.6,.069,-0.1,3.2,1986
34,20,HOU,Buck Johnson,University of Alabama,7,505,11849,4617,1760,856,.488,.113,.738,23.5,9.1,3.5,1.7,20.8,.084,-0.7,3.7,1986
35,16,PHI,Chris Welp,University of Washington,3,109,1173,359,265,43,.446,.000,.681,10.8,3.3,2.4,0.4,1.0,.042,-3.5,-0.4,1987
