,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,DraftYear
36,17,POR,Ronnie Murphy,Jacksonville University,1,18,89,36,11,6,.286,.250,.636,4.9,2.0,0.6,0.3,-0.2,-.130,-10.7,-0.2,1987
37,18,NYK,Mark Jackson,St. John's University,17,1296,39121,12489,4963,10334,.447,.332,.770,30.2,9.6,3.8,8.0,91.8,.113,0.7,27.1,1987
38,19,LAC,Ken Norman,University of Illinois at Urbana-Champaign,10,646,18992,8717,3949,1355,.486,.312,.567,29.4,13.5,6.1,2.1,27.1,.069,-0.6,6.5,1987
39,20,DAL,Jim Farmer,University of Alabama,5,136,1454,715,186,111,.428,.282,.730,10.7,5.3,1.4,0.8,0.7,.024,-5.0,-1.1,1987
40,16,HOU,Derrick Chievous,University of Missouri,3,154,2240,1086,364,110,.443,.242,.755,14.5,7.1,2.4,0.7,2.7,.057,-4.0,-1.1,1988
41,17,UTA,Eric Leckner,University of Wyoming,8,449,5448,1835,1418,211,.508,.000,.669,12.1,4.1,3.2,0.5,6.2,.054,-4.9,-4.0,1988
42,18,SAC,Ricky Berry,San Jose State University,1,64,1406,706,197,80,.450,.406,.789,22.0,11.0,3.1,1.3,2.4,.083,-1.7,0.1,1988
43,19,NYK,Rod Strickland,DePaul University,17,1094,33634,14463,4084,7987,.454,.282,.721,30.7,13.2,3.7,7.3,85.8,.122,1.6,30.9,1988
44,20,MIA,Kevin Edwards,DePaul University,11,604,15332,6596,1653,1609,.423,.335,.803,25.4,10.9,2.7,2.7,12.5,.039,-1.6,1.6,1988
45,16,SEA,Dana Barros,Boston College,14,850,19480,8901,1609,2837,.460,.411,.858,22.9,10.5,1.9,3.3,49.6,.122,0.2,10.6,1989
46,17,SEA,Shawn Kemp,Trinity Valley Community College,14,1051,29293,15347,8834,1704,.488,.277,.741,27.9,14.6,8.4,1.6,89.5,.147,1.7,27.3,1989
47,18,CHI,B.J. Armstrong,University of Iowa,11,747,17790,7320,1321,2479,.477,.425,.856,23.8,9.8,1.8,3.3,45.0,.121,-1.6,1.9,1989
48,19,PHI,Kenny Payne,University of Louisville,4,144,1167,508,170,61,.410,.293,.859,8.1,3.5,1.2,0.4,-0.1,-.005,-6.6,-1.3,1989
49,20,CHI,Jeff Sanders,Georgia Southern University,4,55,462,112,103,25,.395,,.609,8.4,2.0,1.9,0.5,-0.1,-.008,-5.2,-0.4,1989
50,16,MIL,Terry Mills,University of Michigan,11,678,16422,7175,3680,891,.457,.384,.781,24.2,10.6,5.4,1.3,33.3,.097,-0.7,5.5,1990
51,17,NYK,Jerrod Mustaf,University of Maryland,4,179,1902,721,452,99,.449,.000,.648,10.6,4.0,2.5,0.6,1.7,.043,-4.4,-1.2,1990
52,18,SAC,Duane Causwell,Temple University,11,541,9409,2648,2273,243,.507,.286,.618,17.4,4.9,4.2,0.4,15.8,.081,-1.3,1.6,1990
53,19,BOS,Dee Brown,Jacksonville University,12,608,16843,6758,1569,2227,.436,.357,.825,27.7,11.1,2.6,3.7,33.4,.095,0.6,11.0,1990
54,20,MIN,Gerald Glass,University of Mississippi,4,201,3347,1553,512,298,.433,.236,.643,16.7,7.7,2.5,1.5,1.8,.025,-2.5,-0.4,1990
55,16,GSW,Chris Gatling,Old Dominion University,11,700,13760,7232,3741,461,.513,.249,.660,19.7,10.3,5.3,0.7,32.1,.112,-2.1,-0.2,1991
56,17,GSW,Victor Alexander,Iowa State University,5,286,5755,2542,1384,257,.518,.286,.634,20.1,8.9,4.8,0.9,8.8,.073,-2.6,-0.9,1991
57,18,MIL,Kevin Brooks,University of Louisiana at Lafayette,3,126,1031,417,141,48,.401,.200,.859,8.2,3.3,1.1,0.4,-0.1,-.004,-7.9,-1.5,1991
58,19,WSB,LaBradford Smith,University of Louisville,3,183,3131,1218,271,394,.432,.298,.813,17.1,6.7,1.5,2.2,1.5,.024,-4.1,-1.6,1991
59,20,HOU,John Turner,Phillips University,1,42,345,117,78,12,.439,,.525,8.2,2.8,1.9,0.3,-0.1,-.021,-7.4,-0.5,1991
60,16,LAC,Randy Woods,La Salle University,4,151,1093,356,93,257,.340,.305,.683,7.2,2.4,0.6,1.7,0.6,.026,-3.4,-0.4,1992
61,17,SEA,Doug Christie,Pepperdine University,15,827,26079,9301,3382,2992,.426,.354,.821,31.5,11.2,4.1,3.6,55.7,.102,1.9,25.4,1992
62,18,SAS,Tracy Murray,"University of California, Los Angeles",12,659,12103,5943,1649,508,.430,.388,.829,18.4,9.0,2.5,0.8,24.1,.096,-1.6,1.4,1992
63,19,DET,Don MacLean,"University of California, Los Angeles",9,319,6679,3490,1210,404,.455,.284,.765,20.9,10.9,3.8,1.3,9.4,.067,-3.7,-2.9,1992
64,20,NYK,Hubert Davis,University of North Carolina,12,685,15143,5583,1045,1172,.458,.441,.837,22.1,8.2,1.5,1.7,27.7,.088,-1.8,0.7,1992
65,16,NJN,Rex Walters,University of Kansas,7,335,4602,1547,403,569,.441,.361,.809,13.7,4.6,1.2,1.7,6.3,.066,-3.3,-1.5,1993
66,17,CHH,Greg Graham,Indiana University,5,207,2530,938,219,201,.407,.290,.775,12.2,4.5,1.1,1.0,1.3,.025,-4.4,-1.6,1993
67,18,UTA,Luther Wright,Seton Hall University,1,15,92,19,10,0,.348,.000,.750,6.1,1.3,0.7,0.0,-0.1,-.064,-10.1,-0.2,1993
68,19,BOS,Acie Earl,University of Iowa,4,193,2512,980,517,61,.403,.000,.667,13.0,5.1,2.7,0.3,0.3,.005,-6.9,-3.1,1993
69,20,CHH,Scott Burrell,University of Connecticut,8,383,7592,2647,1332,527,.418,.373,.723,19.8,6.9,3.5,1.4,16.4,.104,1.2,6.1,1993
70,16,GSW,Clifford Rozier,University of Louisville,4,173,2984,827,897,98,.496,.182,.465,17.2,4.8,5.2,0.6,3.9,.063,-2.1,-0.1,1994
71,17,POR,Aaron McKie,Temple University,13,793,19156,5871,2587,2126,.438,.350,.779,24.2,7.4,3.3,2.7,40.0,.100,0.7,12.9,1994
72,18,MIL,Eric Mobley,University of Pittsburgh,3,113,1570,440,351,57,.541,.750,.475,13.9,3.9,3.1,0.5,1.1,.034,-4.0,-0.8,1994
73,19,DAL,Tony Dumas,University of Missouri-Kansas City,4,156,2222,1140,198,186,.404,.327,.608,14.2,7.3,1.3,1.2,1.3,.027,-4.8,-1.6,1994
74,20,PHI,B.J. Tyler,University of Texas at Austin,1,55,809,195,62,174,.381,.314,.700,14.7,3.5,1.1,3.2,-0.7,-.039,-7.2,-1.1,1994
75,16,ATL,Alan Henderson,Indiana University,12,652,13780,5094,3249,397,.469,.192,.639,21.1,7.8,5.0,0.6,28.0,.097,-1.7,1.1,1995
76,17,CLE,Bob Sura,Florida State University,10,657,15597,5654,2240,2474,.414,.325,.689,23.7,8.6,3.4,3.8,28.3,.087,0.3,9.2,1995
77,18,DET,Theo Ratliff,University of Wyoming,16,810,20500,5809,4596,465,.496,.000,.710,25.3,7.2,5.7,0.6,47.9,.112,0.9,15.1,1995
78,19,DET,Randolph Childress,Wake Forest University,2,51,405,124,25,49,.328,.273,.800,7.9,2.4,0.5,1.0,-0.2,-.026,-6.4,-0.4,1995
79,20,CHI,Jason Caffey,University of Alabama,8,462,9045,3368,2022,420,.481,.000,.637,19.6,7.3,4.4,0.9,13.5,.072,-2.7,-1.6,1995
80,16,CHH,Tony Delk,University of Kentucky,10,545,11702,4957,1351,1024,.408,.343,.769,21.5,9.1,2.5,1.9,19.5,.080,-1.3,2.1,1996
81,17,POR,Jermaine O'Neal,,18,1011,27364,13309,7261,1369,.467,.147,.715,27.1,13.2,7.2,1.4,66.0,.116,0.0,13.9,1996
82,18,NYK,John Wallace,Syracuse University,7,381,6143,2901,1061,281,.462,.300,.740,16.1,7.6,2.8,0.7,6.4,.050,-4.5,-3.8,1996
83,19,NYK,Walter McCarty,University of Kentucky,10,593,10374,3056,1554,670,.392,.346,.698,17.5,5.2,2.6,1.1,13.7,.064,-1.4,1.7,1996
84,20,CLE,Zydrunas Ilgauskas,,13,843,22965,10976,6191,955,.476,.310,.780,27.2,13.0,7.3,1.1,66.3,.139,0.3,13.0,1996
85,16,CLE,Brevin Knight,Stanford University,12,729,18176,5342,1785,4481,.412,.134,.789,24.9,7.3,2.4,6.1,32.6,.086,-1.1,4.3,1997
86,17,ORL,Johnny Taylor,University of Tennessee at Chattanooga,3,54,866,256,120,26,.402,.394,.718,16.0,4.7,2.2,0.5,0.1,.007,-3.5,-0.3,1997
87,18,POR,Chris Anstey,,3,155,2157,813,534,127,.413,.138,.755,13.9,5.2,3.4,0.8,2.8,.062,-2.8,-0.4,1997
88,19,DET,Scot Pollard,University of Kansas,11,506,8372,2222,2351,220,.494,.000,.709,16.5,4.4,4.6,0.4,26.6,.153,0.6,5.5,1997
89,20,MIN,Paul Grant,University of Wisconsin,2,16,111,29,18,3,.448,,.375,6.9,1.8,1.1,0.2,-0.1,-.043,-7.8,-0.2,1997
90,16,HOU,Bryce Drew,Valparaiso University,6,243,3970,1081,295,524,.382,.371,.830,16.3,4.4,1.2,2.2,2.4,.030,-4.6,-2.6,1998
91,17,MIN,Rasho Nesterovic,,12,811,17983,5519,4143,836,.502,.077,.585,22.2,6.8,5.1,1.0,39.9,.107,0.4,11.0,1998
92,18,HOU,Mirsad Turkcan,,1,17,90,33,33,5,.368,.000,.625,5.3,1.9,1.9,0.3,0.0,-.019,-6.0,-0.1,1998
93,19,MIL,Pat Garrity,University of Notre Dame,10,552,11062,4017,1457,443,.417,.398,.806,20.0,7.3,2.6,0.8,18.7,.081,-1.8,0.7,1998
94,20,ATL,Roshown McLeod,Duke University,3,113,2130,817,308,124,.409,.111,.819,18.8,7.2,2.7,1.1,0.2,.004,-5.0,-1.6,1998
95,16,CHI,Metta World Peace,St. John's University,17,991,31440,13058,4448,2631,.414,.339,.715,31.7,13.2,4.5,2.7,61.1,.093,1.8,29.9,1999
96,17,ATL,Cal Bowdler,Old Dominion University,3,142,1383,424,272,29,.404,.182,.768,9.7,3.0,1.9,0.2,1.8,.061,-4.7,-0.9,1999
97,18,DEN,James Posey,Xavier University,12,864,23260,7419,4061,1413,.410,.349,.820,26.9,8.6,4.7,1.6,51.6,.107,1.2,18.8,1999
98,19,UTA,Quincy Lewis,University of Minnesota,4,159,1853,567,210,96,.397,.333,.710,11.7,3.6,1.3,0.6,0.8,.020,-4.0,-0.9,1999
99,20,ATL,Dion Glover,Georgia Institute of Technology,6,294,6132,2407,897,455,.411,.317,.756,20.9,8.2,3.1,1.5,5.8,.045,-2.4,-0.7,1999
100,16,SAC,Hedo Turkoglu,,15,997,26695,11022,3971,2832,.426,.384,.784,26.8,11.1,4.0,2.8,63.3,.114,1.2,21.4,2000
101,17,SEA,Desmond Mason,Oklahoma State University,10,643,19641,7767,2863,1049,.449,.260,.740,30.5,12.1,4.5,1.6,23.1,.056,-2.4,-1.9,2000
102,18,LAC,Quentin Richardson,DePaul University,13,783,20785,8032,3666,1138,.397,.355,.718,26.5,10.3,4.7,1.5,32.8,.076,-0.3,8.9,2000
103,19,CHH,Jamaal Magloire,University of Kentucky,12,680,14621,4917,4408,386,.480,.000,.639,21.5,7.2,6.5,0.6,27.7,.091,-2.9,-3.3,2000
104,20,PHI,Speedy Claxton,Hofstra University,7,334,8548,3096,830,1441,.409,.193,.762,25.6,9.3,2.5,4.3,14.2,.080,-0.7,2.8,2000
105,16,CHH,Kirk Haston,Indiana University,2,27,134,32,27,8,.232,.000,.500,5.0,1.2,1.0,0.3,-0.5,-.197,-13.5,-0.4,2001
106,17,TOR,Michael Bradley,Villanova University,5,173,2016,483,591,93,.477,.143,.511,11.7,2.8,3.4,0.5,2.0,.047,-3.7,-0.9,2001
107,18,HOU,Jason Collins,Stanford University,13,735,14974,2621,2706,626,.411,.206,.647,20.4,3.6,3.7,0.9,20.1,.064,-2.0,0.2,2001
108,19,POR,Zach Randolph,Michigan State University,17,1116,34616,18578,10208,2049,.471,.273,.764,31.0,16.6,9.1,1.8,81.1,.112,-0.4,13.6,2001
109,20,CLE,Brendan Haywood,University of North Carolina,13,816,18680,5538,4875,442,.528,.000,.587,22.9,6.8,6.0,0.5,43.8,.113,-0.2,8.4,2001
110,16,PHI,Jiri Welsch,,4,247,4596,1519,602,375,.403,.343,.752,18.6,6.1,2.4,1.5,5.7,.059,-2.1,-0.1,2002
111,17,WAS,Juan Dixon,University of Maryland,7,436,8509,3678,816,775,.413,.341,.833,19.5,8.4,1.9,1.8,6.1,.034,-3.0,-2.1,2002
112,18,ORL,Curtis Borchardt,Stanford University,2,83,1117,258,278,64,.421,.000,.742,13.5,3.1,3.3,0.8,1.0,.041,-2.4,-0.1,2002
113,19,UTA,Ryan Humphrey,University of Notre Dame,3,85,772,197,189,18,.344,.000,.539,9.1,2.3,2.2,0.2,-0.4,-.027,-7.6,-1.1,2002
114,20,TOR,Kareem Rush,University of Missouri,7,346,5956,2213,572,353,.400,.358,.703,17.2,6.4,1.7,1.0,1.7,.013,-4.1,-3.2,2002
115,16,BOS,Troy Bell,Boston College,1,6,34,11,4,4,.222,.000,1.000,5.7,1.8,0.7,0.7,-0.2,-.326,-14.4,-0.1,2003
116,17,PHO,Zarko Cabarkapa,,3,150,1550,640,312,85,.427,.273,.733,10.3,4.3,2.1,0.6,1.1,.035,-5.2,-1.3,2003
117,18,NOH,David West,Xavier University,15,1034,29144,14034,6590,2273,.495,.265,.817,28.2,13.6,6.4,2.2,85.9,.141,1.5,25.8,2003
118,19,UTA,Sasha Pavlovic,,10,567,8888,2787,1000,517,.404,.346,.673,15.7,4.9,1.8,0.9,7.0,.038,-3.4,-3.2,2003
119,20,BOS,Dahntay Jones,Duke University,13,624,9799,3353,1082,529,.439,.329,.751,15.7,5.4,1.7,0.8,9.9,.048,-3.7,-4.1,2003
120,16,UTA,Kirk Snyder,"University of Nevada, Reno",4,211,3540,1333,491,241,.438,.327,.699,16.8,6.3,2.3,1.1,4.5,.061,-2.0,0.0,2004
121,17,ATL,Josh Smith,,13,894,29000,12996,6653,2789,.452,.285,.632,32.4,14.5,7.4,3.1,51.0,.084,2.1,29.9,2004
122,18,NOH,J.R. Smith,,14,960,25974,12057,3050,2053,.419,.374,.732,27.1,12.6,3.2,2.1,46.6,.086,0.2,14.7,2004
123,19,MIA,Dorell Wright,,11,549,12280,4597,2093,850,.424,.365,.806,22.4,8.4,3.8,1.5,25.9,.101,0.4,7.4,2004
124,20,DEN,Jameer Nelson,Saint Joseph's University,14,878,24539,9940,2595,4508,.436,.368,.810,27.9,11.3,3.0,5.1,48.3,.094,0.0,12.7,2004
125,16,TOR,Joey Graham,Oklahoma State University,6,377,6117,2239,1058,207,.483,.300,.815,16.2,5.9,2.8,0.5,7.8,.061,-3.8,-2.8,2005
126,17,IND,Danny Granger,University of New Mexico,10,586,18487,9855,2888,1097,.434,.380,.848,31.5,16.8,4.9,1.9,48.5,.126,1.5,16.1,2005
127,18,BOS,Gerald Green,,11,585,11553,5737,1457,556,.419,.362,.816,19.7,9.8,2.5,1.0,16.5,.069,-2.4,-1.0,2005
128,19,MEM,Hakim Warrick,Syracuse University,8,526,10624,4947,2117,400,.490,.191,.726,20.2,9.4,4.0,0.8,20.4,.092,-3.1,-2.9,2005
129,20,DEN,Julius Hodge,North Carolina State University,2,23,98,28,15,18,.440,,.500,4.3,1.2,0.7,0.8,0.0,.003,-4.5,-0.1,2005
130,16,CHI,Rodney Carney,University of Memphis,5,299,4600,1778,588,132,.422,.338,.704,15.4,5.9,2.0,0.4,6.2,.064,-2.7,-0.8,2006
131,17,IND,Shawne Williams,University of Memphis,7,314,5368,1769,945,220,.403,.339,.755,17.1,5.6,3.0,0.7,6.7,.060,-2.0,0.0,2006
132,18,WAS,Oleksiy Pecherov,,3,111,1044,438,266,20,.386,.290,.793,9.4,3.9,2.4,0.2,0.5,.025,-7.0,-1.3,2006
133,19,SAC,Quincy Douby,Rutgers University,3,143,1535,588,152,93,.389,.312,.884,10.7,4.1,1.1,0.7,0.0,.000,-5.4,-1.3,2006
134,20,NYK,Renaldo Balkman,University of South Carolina,6,221,3064,894,769,132,.510,.172,.542,13.9,4.0,3.5,0.6,7.2,.113,0.9,2.2,2006
135,16,WAS,Nick Young,University of Southern California,11,716,16382,8185,1426,685,.418,.376,.836,22.9,11.4,2.0,1.0,18.6,.054,-3.4,-5.7,2007
136,17,NJN,Sean Williams,Boston College,4,137,1978,581,472,47,.511,.000,.624,14.4,4.2,3.4,0.3,3.0,.073,-2.0,0.0,2007
137,18,GSW,Marco Belinelli,,11,724,16850,7180,1471,1228,.427,.377,.841,23.3,9.9,2.0,1.7,27.2,.077,-1.6,1.6,2007
138,19,LAL,Javaris Crittenton,Georgia Institute of Technology,2,113,1853,595,276,201,.442,.231,.638,16.4,5.3,2.4,1.8,0.1,.002,-4.3,-1.1,2007
139,20,MIA,Jason Smith,Colorado State University,10,596,9839,3712,2023,439,.470,.332,.781,16.5,6.2,3.4,0.7,13.9,.068,-2.6,-1.5,2007
140,16,PHI,Marreese Speights,University of Florida,10,705,10640,5592,2875,461,.459,.356,.797,15.1,7.9,4.1,0.7,25.8,.116,-2.8,-2.2,2008
141,17,TOR,Roy Hibbert,Georgetown University,9,662,16389,6611,4173,885,.465,.250,.755,24.8,10.0,6.3,1.3,35.9,.105,0.2,9.1,2008
142,18,WAS,JaVale McGee,"University of Nevada, Reno",10,558,9331,4176,2653,188,.559,.067,.582,16.7,7.5,4.8,0.3,25.9,.133,-0.5,3.6,2008
143,19,CLE,J.J. Hickson,North Carolina State University,8,534,11925,5081,3639,449,.505,.000,.617,22.3,9.5,6.8,0.8,21.9,.088,-2.3,-0.9,2008
144,20,CHA,Alexis Ajinca,,7,293,3905,1553,1150,143,.503,.286,.797,13.3,5.3,3.9,0.5,7.5,.093,-2.5,-0.5,2008
145,16,CHI,James Johnson,Wake Forest University,9,547,11298,4357,1990,1146,.481,.299,.694,20.7,8.0,3.6,2.1,21.9,.093,1.3,9.5,2009
146,17,PHI,Jrue Holiday,"University of California, Los Angeles",9,585,19184,8728,2165,3633,.450,.360,.788,32.8,14.9,3.7,6.2,33.7,.084,1.1,15.1,2009
147,18,MIN,Ty Lawson,University of North Carolina,8,551,16088,6977,1506,3316,.460,.359,.770,29.2,12.7,2.7,6.0,42.1,.126,0.7,10.9,2009
148,19,ATL,Jeff Teague,Wake Forest University,9,670,18486,8539,1653,3802,.447,.357,.844,27.6,12.7,2.5,5.7,46.1,.120,0.2,10.1,2009
149,20,UTA,Eric Maynor,Virginia Commonwealth University,5,267,3896,1141,348,760,.392,.350,.721,14.6,4.3,1.3,2.8,3.3,.041,-4.7,-2.7,2009
150,16,MIN,Luke Babbitt,"University of Nevada, Reno",8,381,5332,1818,846,224,.408,.402,.747,14.0,4.8,2.2,0.6,7.2,.065,-2.8,-1.0,2010
151,17,CHI,Kevin Seraphin,,7,423,6430,2516,1462,246,.489,.000,.715,15.2,5.9,3.5,0.6,5.9,.044,-3.9,-3.1,2010
152,18,OKC,Eric Bledsoe,University of Kentucky,8,492,13631,6793,1867,2294,.449,.337,.799,27.7,13.8,3.8,4.7,28.8,.102,2.0,13.6,2010
153,19,BOS,Avery Bradley,University of Texas at Austin,8,459,13052,5664,1380,797,.439,.366,.772,28.4,12.3,3.0,1.7,14.2,.052,-1.7,1.0,2010
154,20,SAS,James Anderson,Oklahoma State University,5,247,4320,1422,560,291,.411,.321,.755,17.5,5.8,2.3,1.2,3.3,.037,-2.8,-0.9,2010
155,16,PHI,Nikola Vucevic,University of Southern California,7,456,13595,6746,4477,1003,.499,.308,.729,29.8,14.8,9.8,2.2,31.6,.112,0.9,9.9,2011
156,17,NYK,Iman Shumpert,Georgia Institute of Technology,7,384,9737,2799,1316,721,.396,.338,.763,25.4,7.3,3.4,1.9,11.5,.057,-0.4,3.9,2011
157,18,WAS,Chris Singleton,Florida State University,3,148,2605,612,472,92,.376,.319,.633,17.6,4.1,3.2,0.6,2.3,.042,-2.3,-0.2,2011
158,19,CHA,Tobias Harris,University of Tennessee,7,464,13745,6791,2605,800,.467,.355,.812,29.6,14.6,5.6,1.7,32.3,.113,0.1,7.2,2011
159,20,MIN,Donatas Motiejunas,,5,248,4553,1826,949,268,.469,.300,.600,18.4,7.4,3.8,1.1,7.2,.076,-2.0,0.0,2011
160,16,HOU,Royce White,Iowa State University,1,3,9,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-.121,-10.4,0.0,2012
161,17,DAL,Tyler Zeller,University of North Carolina,6,406,7157,2825,1792,363,.508,.294,.764,17.6,7.0,4.4,0.9,16.8,.112,-1.5,0.8,2012
162,18,HOU,Terrence Jones,University of Kentucky,5,232,5557,2429,1330,238,.501,.299,.622,24.0,10.5,5.7,1.0,14.8,.128,0.2,3.0,2012
163,19,ORL,Andrew Nicholson,St. Bonaventure University,5,285,4080,1700,857,126,.467,.321,.773,14.3,6.0,3.0,0.4,3.8,.045,-5.3,-3.4,2012
164,20,DEN,Evan Fournier,,6,376,10229,4931,1004,856,.448,.379,.804,27.2,13.1,2.7,2.3,16.2,.076,-0.9,2.7,2012
165,16,BOS,Lucas Nogueira,,4,141,1754,446,388,72,.632,.265,.640,12.4,3.2,2.8,0.5,6.0,.165,4.8,3.0,2013
166,17,ATL,Dennis Schroder,,5,352,8341,4545,884,1675,.434,.320,.827,23.7,12.9,2.5,4.8,10.2,.059,-1.7,0.6,2013
167,18,ATL,Shane Larkin,University of Miami,4,256,4880,1399,490,737,.422,.336,.777,19.1,5.5,1.9,2.9,4.4,.044,-2.5,-0.6,2013
