,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,DraftYear
0,21,PHI,Monti Davis,Tennessee State University,1,2,10,3,4,0,.200,,.200,5.0,1.5,2.0,0.0,-0.1,-.311,-22.3,-0.1,1980
1,22,CLE,Chad Kinch,University of North Carolina at Charlotte,1,41,353,118,33,45,.369,,.778,8.6,2.9,0.8,1.1,-0.5,-.071,-8.3,-0.6,1980
2,23,DEN,Carl Nicks,Indiana State University,3,156,2579,1067,297,249,.462,.000,.570,16.5,6.8,1.9,1.6,-0.4,-.007,-4.5,-1.6,1980
3,1980,,,,,,,,,,,,,,,,,,,,,
4,1980,,,,,,,,,,,,,,,,,,,,,
5,21,MIL,Alton Lister,Arizona State University,16,953,18965,6298,5996,914,.512,.111,.597,19.9,6.6,6.3,1.0,36.6,.093,-0.3,7.9,1981
6,22,PHI,Franklin Edwards,Cleveland State University,7,296,4436,1802,300,774,.449,.030,.795,15.0,6.1,1.0,2.6,3.9,.043,-3.9,-2.1,1981
7,23,BOS,Charles Bradley,University of Wyoming,3,110,910,347,119,55,.416,.000,.585,8.3,3.2,1.1,0.5,0.3,.016,-4.1,-0.5,1981
8,1981,,,,,,,,,,,,,,,,,,,,,
9,1981,,,,,,,,,,,,,,,,,,,,,
10,21,NJN,Eddie Phillips,University of Alabama,1,48,416,152,77,29,.406,.000,.678,8.7,3.2,1.6,0.6,0.1,.011,-5.3,-0.4,1982
11,22,PHI,Mark McNamara,University of California,8,278,2707,980,827,77,.512,,.548,9.7,3.5,3.0,0.3,2.8,.049,-4.8,-1.9,1982
12,23,BOS,Darren Tillis,Cleveland State University,2,124,1256,425,314,42,.423,.000,.626,10.1,3.4,2.5,0.3,0.9,.036,-4.7,-0.8,1982
13,1982,,,,,,,,,,,,,,,,,,,,,
14,1982,,,,,,,,,,,,,,,,,,,,,
15,21,BOS,Greg Kite,Brigham Young University,12,680,10080,1717,2607,345,.438,.167,.486,14.8,2.5,3.8,0.5,5.6,.027,-3.1,-2.8,1983
16,22,WSB,Randy Wittman,Indiana University,9,543,11594,4034,760,1201,.501,.321,.753,21.4,7.4,1.4,2.2,17.2,.071,-1.7,0.8,1983
17,23,IND,Mitchell Wiggins,Florida State University,6,389,8105,3877,1235,609,.460,.192,.755,20.8,10.0,3.2,1.6,15.2,.090,-0.8,2.5,1983
18,24,CLE,Stewart Granger,Villanova University,3,80,996,316,78,173,.414,.235,.742,12.5,4.0,1.0,2.2,-0.1,-.005,-6.0,-1.0,1983
19,1983,,,,,,,,,,,,,,,,,,,,,
20,21,MIL,Kenny Fields,"University of California, Los Angeles",4,184,2692,1140,464,188,.474,.188,.733,14.6,6.2,2.5,1.0,4.2,.074,-2.1,-0.1,1984
21,22,PHI,Tom Sewell,Lamar University,1,21,87,20,4,6,.250,.000,.500,4.1,1.0,0.2,0.3,-0.4,-.201,-13.1,-0.2,1984
22,23,LAL,Earl Jones,University of the District of Columbia,2,14,50,13,10,4,.385,,.750,3.6,0.9,0.7,0.3,-0.1,-.090,-8.1,-0.1,1984
23,24,BOS,Michael Young,University of Houston,3,49,472,223,88,24,.465,.296,.711,9.6,4.6,1.8,0.5,1.1,.110,-1.4,0.1,1984
24,1984,,,,,,,,,,,,,,,,,,,,,
25,21,PHI,Terry Catledge,University of South Alabama,8,515,13541,6520,3314,459,.485,.094,.654,26.3,12.7,6.4,0.9,20.9,.074,-2.3,-1.0,1985
26,22,MIL,Jerry Reynolds,Louisiana State University,8,443,8379,4036,1317,904,.418,.226,.749,18.9,9.1,3.0,2.0,10.5,.060,-0.3,3.5,1985
27,23,LAL,A.C. Green,Oregon State University,16,1278,36552,12331,9473,1400,.494,.254,.734,28.6,9.6,7.4,1.1,99.5,.131,0.4,22.2,1985
28,24,POR,Terry Porter,University of Wisconsin-Stevens Point,17,1274,35354,15586,3872,7160,.463,.386,.836,27.8,12.2,3.0,5.6,110.4,.150,2.0,35.9,1985
29,1985,,,,,,,,,,,,,,,,,,,,,
30,21,WSB,Anthony Jones,"University of Nevada, Las Vegas",3,164,1704,594,214,119,.393,.306,.740,10.4,3.6,1.3,0.7,0.8,.022,-3.7,-0.7,1986
31,22,MIL,Scott Skiles,Michigan State University,10,600,16789,6652,1526,3881,.435,.379,.889,28.0,11.1,2.5,6.5,30.4,.087,-1.2,3.2,1986
32,23,LAL,Ken Barlow,University of Notre Dame,,,,,,,,,,,,,,,,,,1986
33,24,POR,Arvydas Sabonis,,7,470,11375,5629,3436,964,.500,.328,.786,24.2,12.0,7.3,2.1,47.3,.200,3.8,16.6,1986
34,1986,,,,,,,,,,,,,,,,,,,,,
35,21,ATL,Dallas Comegys,DePaul University,2,142,2241,856,452,95,.457,.000,.682,15.8,6.0,3.2,0.7,1.1,.024,-3.8,-1.0,1987
36,22,BOS,Reggie Lewis,Northeastern University,6,450,14676,7902,1938,1153,.488,.200,.824,32.6,17.6,4.3,2.6,38.9,.127,1.5,13.1,1987
37,23,SAS,Greg Anderson,University of Houston,10,680,14040,4953,4246,385,.492,.087,.557,20.6,7.3,6.2,0.6,18.7,.064,-2.7,-2.6,1987
38,1987,,,,,,,,,,,,,,,,,,,,,
39,1987,,,,,,,,,,,,,,,,,,,,,
40,21,POR,Mark Bryant,Seton Hall University,15,797,13479,4313,2992,491,.500,.083,.697,16.9,5.4,3.8,0.6,26.1,.093,-2.2,-0.8,1988
41,22,CLE,Randolph Keys,University of Southern Mississippi,5,241,3318,1262,551,192,.425,.272,.721,13.8,5.2,2.3,0.8,2.3,.034,-3.2,-1.0,1988
42,23,DEN,Jerome Lane,University of Pittsburgh,5,218,3215,1154,1258,322,.441,.063,.379,14.7,5.3,5.8,1.5,2.3,.034,-1.2,0.7,1988
43,24,BOS,Brian Shaw,"University of California, Santa Barbara",14,943,21666,6547,3183,3918,.403,.304,.782,23.0,6.9,3.4,4.2,23.8,.053,-1.4,3.5,1988
44,25,LAL,David Rivers,University of Notre Dame,3,114,1286,383,147,282,.398,.083,.794,11.3,3.4,1.3,2.5,-0.3,-.010,-5.2,-1.0,1988
45,21,UTA,Blue Edwards,East Carolina University,10,704,18409,7585,2376,1409,.475,.335,.779,26.1,10.8,3.4,2.0,24.2,.063,-0.8,5.7,1989
46,22,POR,Byron Irvin,University of Missouri,3,87,849,451,123,73,.471,.350,.722,9.8,5.2,1.4,0.8,2.1,.121,-1.0,0.2,1989
47,23,ATL,Roy Marble,University of Iowa,2,29,194,55,32,12,.257,.000,.594,6.7,1.9,1.1,0.4,-0.5,-.122,-8.5,-0.3,1989
48,24,PHO,Anthony Cook,University of Arizona,4,116,1499,418,428,34,.439,.000,.524,12.9,3.6,3.7,0.3,1.0,.033,-4.2,-0.8,1989
49,25,CLE,John Morton,Seton Hall University,3,128,1879,609,161,342,.386,.224,.787,14.7,4.8,1.3,2.7,0.5,.013,-4.7,-1.3,1989
50,21,PHO,Jayson Williams,St. John's University,9,475,9805,3472,3584,287,.440,.125,.606,20.6,7.3,7.5,0.6,20.0,.098,-2.0,0.1,1990
51,22,NJN,Tate George,University of Connecticut,4,177,2019,736,180,325,.414,.071,.820,11.4,4.2,1.0,1.8,1.3,.032,-5.5,-1.8,1990
52,23,SAC,Anthony Bonner,Saint Louis University,6,318,7372,2199,1726,442,.468,.125,.590,23.2,6.9,5.4,1.4,10.8,.070,-0.5,2.8,1990
53,24,SAS,Dwayne Schintzius,University of Florida,8,217,1950,587,536,93,.404,.125,.638,9.0,2.7,2.5,0.4,1.0,.024,-4.9,-1.4,1990
