,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,DraftYear
37,3,MIL,Marques Johnson,"University of California, Los Angeles",11,691,23694,13892,4817,2502,.518,.152,.739,34.3,20.1,7.0,3.6,79.8,.162,3.6,33.6,1977
38,4,WSB,Greg Ballard,University of Oregon,11,802,22073,9953,4858,1733,.472,.338,.787,27.5,12.4,6.1,2.2,54.0,.117,1.5,19.3,1977
39,5,PHO,Walter Davis,University of North Carolina,15,1033,28859,19521,3053,3878,.511,.272,.851,27.9,18.9,3.0,3.8,76.9,.128,0.6,19.0,1977
40,1,POR,Mychal Thompson,University of Minnesota,12,935,27764,12810,6951,2141,.504,.083,.655,29.7,13.7,7.4,2.3,59.1,.102,0.6,18.2,1978
41,2,KCK,Phil Ford,University of North Carolina,7,482,13503,5594,854,3083,.467,.210,.820,28.0,11.6,1.8,6.4,23.3,.083,-2.1,-0.4,1978
42,3,IND,Rick Robey,University of Kentucky,8,493,8824,3723,2301,611,.501,.125,.650,17.9,7.6,4.7,1.2,15.8,.086,-1.5,1.1,1978
43,4,NYK,Micheal Ray Richardson,University of Montana,8,556,18589,8253,3056,3899,.457,.220,.690,33.4,14.8,5.5,7.0,35.2,.091,3.5,25.9,1978
44,5,GSW,Purvis Short,Jackson State University,12,842,24549,14607,3625,2123,.474,.282,.824,29.2,17.3,4.3,2.5,51.1,.100,-0.1,11.6,1978
45,1,LAL,Magic Johnson,Michigan State University,13,906,33245,17707,6559,10141,.520,.303,.848,36.7,19.5,7.2,11.2,155.8,.225,7.2,77.4,1979
46,2,CHI,Dave Greenwood,"University of California, Los Angeles",12,823,23370,8428,6537,1614,.477,.138,.765,28.4,10.2,7.9,2.0,46.4,.095,0.2,13.1,1979
47,3,NYK,Bill Cartwright,University of San Francisco,15,963,27491,12713,6106,1390,.525,.000,.771,28.5,13.2,6.3,1.4,72.8,.127,-0.5,10.7,1979
48,4,DET,Greg Kelser,Michigan State University,6,305,6032,2961,1402,411,.486,.167,.686,19.8,9.7,4.6,1.3,8.6,.069,-0.8,1.9,1979
49,5,MIL,Sidney Moncrief,University of Arkansas,11,767,23150,11931,3575,2793,.502,.284,.831,30.2,15.6,4.7,3.6,90.3,.187,3.8,33.9,1979
50,1,GSW,Joe Barry Carroll,Purdue University,10,705,22838,12455,5404,1264,.474,.000,.747,32.4,17.7,7.7,1.8,35.6,.075,-0.7,7.5,1980
51,2,UTA,Darrell Griffith,University of Louisville,10,765,21403,12391,2519,1627,.463,.332,.707,28.0,16.2,3.3,2.1,22.0,.049,-1.3,3.6,1980
